X,Y
3201,2320
4256,1419
1379,1513
3853,4644
2494,1571
1507,487
3753,4994
4041,1792
2131,1947
2188,119
1209,1071
4623,4413
280,2894
4019,2298
2044,3759
4069,1276
4846,4578
536,1699
1348,2667
4051,4343
2373,888
2067,4153
4666,884
1942,1164
972,4646
638,3956
4430,1689
1179,3350
2251,1035
4538,4880
977,678
1308,4344
2631,2451
1341,3618
847,2085
2520,3717
2895,67
286,4500
1135,4962
4357,2293
2279,4610
1226,1447
3951,1401
1211,2870
4913,472
1324,269
3259,4097
609,2284
1936,283
1330,3684
3983,2584
1837,3930
3200,4484
2559,1261
615,2684
1896,3547
1409,2976
4480,1516
3284,929
4912,2075
249,2605
3582,3868
2828,693
4250,1049
1658,656
1978,1547
3465,4580
1036,4786
230,4082
4285,441
1735,1363
1658,3665
3788,3120
2515,3477
2346,3312
4864,3709
1344,1723
3966,1449
2146,1558
3871,1191
623,2637
385,3980
4644,1657
2040,4601
2981,3368
4660,357
1088,534
2586,1149
2951,3447
757,3808
3213,621
3378,1784
561,1992
4398,578
3199,756
2421,3492
3004,1873
3080,2802
1735,2363
3235,4913
4482,2535
